Company,Date Joined,Industry,Country,City,Continent,Year Founded,Funding,Funding_Numeric ($B),Valuation (March) ($B),Select Investors (March),Valuation (November) ($B),Select Investors (November),Years to Unicorn,Most Recent Valuation
Xiaohongshu,2016-03-31,E-commerce And Direct-to-consumer,China,Shanghai,Asia,2013,$918M,0.918,20,"GGV Capital, ZhenFund, Tencent",20.0,"GGV Capital, ZhenFund, Tencent",3,20.0
Miro,2022-01-05,Internet Software And Services,United States,San Francisco,North America,2011,$476M,0.47600000000000003,18,"Accel, AltaIR Capital, Technology Crossover Ventures",17.5,"Accel, AltaIR Capital, Technology Crossover Ventures",11,17.5
Yuanfudao,2017-05-31,Edtech,China,Beijing,Asia,2012,$4B,4.0,17,"Tencent Holdings, Warbug Pincus, IDG Capital",15.5,"Tencent Holdings, Warbug Pincus, IDG Capital",5,15.5
Rapyd,2019-12-03,Fintech,United Kingdom,London,Europe,2016,$770M,0.77,15,"Target Global, General Catalyst, Durable Capital Partners",8.75,"Target Global, General Catalyst, Durable Capital Partners",3,8.75
Discord,2018-04-20,Internet Software And Services,United States,San Francisco,North America,2012,$979M,0.979,15,"Benchmark, Greylock Partners, Tencent Holdings",15.0,"Benchmark, Greylock Partners, Tencent Holdings",6,15.0
goPuff,2020-10-08,E-commerce And Direct-to-consumer,United States,Philadelphia,North America,2013,$3B,3.0,15,"Accel, Softbank Group, Anthos Capital",15.0,"Accel, Softbank Group, Anthos Capital",7,15.0
Blockchain.com,2021-02-17,Fintech,United Kingdom,London,Europe,2011,$490M,0.49,14,"Lightspeed Venture Partners, Google Ventures, Lakestar",14.0,"Lightspeed Venture Partners, Google Ventures, Lakestar",10,14.0
Plaid,2018-12-11,Fintech,United States,San Francisco,North America,2012,$734M,0.734,13,"New Enterprise Associates, Spar Capital, Index Ventures",13.5,"New Enterprise Associates, Spar Capital, Index Ventures",6,13.5
Devoted Health,2018-10-16,Health,United States,Waltham,North America,2017,$2B,2.0,13,"Andreessen Horowitz, F-Prime Capital, Venrock",12.6,"Andreessen Horowitz, F-Prime Capital, Venrock",1,12.6
OpenSea,2021-07-20,E-commerce And Direct-to-consumer,United States,New York,North America,2017,$427M,0.427,13,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",13.3,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",4,13.3
Grammarly,2019-10-10,Internet Software And Services,United States,San Francisco,North America,2009,$400M,0.4,13,"General Catalyst, Institutional Venture Partners, Breyer Capital",13.0,"General Catalyst, Institutional Venture Partners, Breyer Capital",10,13.0
Argo AI,2019-07-12,Artificial Intelligence,United States,Pittsburgh,North America,2016,$4B,4.0,12,"Volkswagen Group, Ford Autonomous Vehicles",7.25,"Volkswagen Group, Ford Autonomous Vehicles",3,7.25
Northvolt,2019-06-12,Other,Sweden,Stockholm,Europe,2016,$4B,4.0,12,"Vattenfall, Volkswagen Group, Goldman Sachs",9.08,"Vattenfall, Volkswagen Group, Goldman Sachs",3,9.08
Faire,2019-10-30,Artificial Intelligence,United States,San Francisco,North America,2017,$1B,1.0,12,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",12.59,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",2,12.59
Airtable,2018-11-15,Internet Software And Services,United States,San Francisco,North America,2013,$1B,1.0,12,"Caffeinated Capital, CRV, Founder Collective",11.7,"Caffeinated Capital, CRV, Founder Collective",5,11.7
Brex,2018-10-05,Fintech,United States,San Francisco,North America,2017,$1B,1.0,12,"DST Global, Ribbit Capital, Greenoaks Capital Management",12.3,"DST Global, Ribbit Capital, Greenoaks Capital Management",1,12.3
Getir,2021-03-26,E-commerce And Direct-to-consumer,Turkey,Istanbul,Europe,2015,$2B,2.0,12,"Tiger Global Management, Sequoia Capital, Revo Capital",11.8,"Tiger Global Management, Sequoia Capital, Revo Capital",6,11.8
Biosplice Therapeutics,2018-08-06,Health,United States,San Diego,North America,2008,$799M,0.799,12,"Vickers Venture Partners, IKEA GreenTech",12.0,"Vickers Venture Partners, IKEA GreenTech",10,12.0
GoodLeap,2021-10-13,Internet Software And Services,United States,Roseville,North America,2003,$800M,0.8,12,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",12.0,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",18,12.0
Xingsheng Selected,2020-07-22,E-commerce And Direct-to-consumer,China,Changsha,Asia,2009,$5B,5.0,12,"KKR, Tencent Holdings, Sequoia Capital China",12.0,"KKR, Tencent Holdings, Sequoia Capital China",11,12.0
ZongMu Technology,2021-06-03,Auto And Transportation,China,Shanghai,Asia,2013,$376M,0.376,11,"LTW Capital, Legend Capital, Qualcomm Ventures",11.4,"LTW Capital, Legend Capital, Qualcomm Ventures",8,11.4
Bolt,2018-05-29,Auto And Transportation,United States,Tallinn,Europe,2013,$1B,1.0,11,"Didi Chuxing, Diamler, TMT Investments",11.0,"Activant Capital, Tribe Capital, General Atlantic",5,11.0
Bolt,2018-05-29,Auto And Transportation,Estonia,Tallinn,Europe,2013,$1B,1.0,11,"Didi Chuxing, Diamler, TMT Investments",8.4,"Didi Chuxing, Diamler, TMT Investments",5,8.4
Swiggy,2018-06-21,"Supply Chain, Logistics, And Delivery",India,Bengaluru,Asia,2014,$5B,5.0,11,"Accel India, SAIF Partners, Norwest Venture Partners",10.7,"Accel India, SAIF Partners, Norwest Venture Partners",4,10.7
Global Switch,2016-12-22,Hardware,United Kingdom,London,Europe,1998,$5B,5.0,11,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",11.1,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",18,11.1
Celonis,2018-06-26,Data Management And Analytics,Germany,Munich,Europe,2011,$1B,1.0,11,"Accel, 83North",13.0,"Accel, 83North",7,13.0
Zuoyebang,2018-07-18,Edtech,China,Beijing,Asia,2014,$3B,3.0,10,"Sequoia Capital China, Xiang He Capital, GGV Capital",3.0,"Sequoia Capital China, Xiang He Capital, GGV Capital",4,3.0
Ripple,2019-12-20,Fintech,United States,San Francisco,North America,2012,$294M,0.294,10,"IDG Capital, Venture51, Lightspeed Venture Partners",15.0,"IDG Capital, Venture51, Lightspeed Venture Partners",7,15.0
OYO Rooms,2018-09-25,Travel,India,Gurugram,Asia,2012,$3B,3.0,10,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",9.0,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",6,9.0
OutSystems,2018-06-05,Internet Software And Services,United States,Boston,North America,2001,$572M,0.5720000000000001,10,"KKR, ES Ventures, North Bridge Growth Equity",9.5,"KKR, ES Ventures, North Bridge Growth Equity",17,9.5
ServiceTitan,2018-11-14,Internet Software And Services,United States,Glendale,North America,2012,$1B,1.0,10,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",9.5,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",6,9.5
Alchemy,2021-10-28,Fintech,United States,San Francisco,North America,2017,$564M,0.5640000000000001,10,"DFJ Growth Fund, Coatue Management, Addition",10.2,"DFJ Growth Fund, Coatue Management, Addition",4,10.2
Chehaoduo,2016-03-12,E-commerce And Direct-to-consumer,China,Beijing,Asia,2015,$4B,4.0,10,"Sequoia Capital China, GX Capital",10.0,"Sequoia Capital China, GX Capital",1,10.0
Digital Currency Group,2021-11-01,Fintech,United States,New York,North America,2015,$1B,1.0,10,"Ribbit Capital, capitalG, Softbank Group",10.0,"Ribbit Capital, capitalG, Softbank Group",6,10.0
Gusto,2015-12-18,Fintech,United States,San Francisco,North America,2011,$691M,0.6910000000000001,10,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",10.0,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",4,10.0
Lalamove,2019-02-21,"Supply Chain, Logistics, And Delivery",Hong Kong,Cheung Sha Wan,Asia,2013,$2B,2.0,10,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",10.0,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",6,10.0
Notion Labs,2020-04-01,Internet Software And Services,United States,San Francisco,North America,2016,$343M,0.343,10,"Index Ventures, Draft Ventures, Felicis Ventures",10.0,"Index Ventures, Draft Ventures, Felicis Ventures",4,10.0
reddit,2017-07-31,Internet Software And Services,United States,San Francisco,North America,2005,$1B,1.0,10,"Y Combinator, Sequoia Capital, Coatue Management",10.0,"Y Combinator, Sequoia Capital, Coatue Management",12,10.0
Talkdesk,2018-10-03,Internet Software And Services,United States,San Francisco,North America,2011,$497M,0.497,10,"DJF, Salesforce Ventures, Storm Ventures",10.0,"DJF, Salesforce Ventures, Storm Ventures",7,10.0
Thrasio,2020-07-15,Other,United States,Walpole,North America,2018,$2B,2.0,10,"Upper90, RiverPark Ventures, Advent International",10.0,"Upper90, RiverPark Ventures, Advent International",2,10.0
Dunamu,2021-07-22,Fintech,South Korea,Seoul,Asia,2012,$71M,0.07100000000000001,9,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",1.0,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",9,1.0
Yanolja,2019-06-10,Travel,South Korea,Seoul,Asia,2005,$2B,2.0,9,"SBI Investment Korea, Partners Investment, GIC",1.0,"SBI Investment Korea, Partners Investment, GIC",14,1.0
Pony.ai,2018-07-11,Artificial Intelligence,United States,Fremont,North America,2016,$1B,1.0,9,"Sequoia Capital China, IDG Capital, DCM Ventures",8.5,"Sequoia Capital China, IDG Capital, DCM Ventures",2,8.5
Nuro,2019-02-11,Auto And Transportation,United States,Mountain View,North America,2016,$2B,2.0,9,"SoftBank Group, Greylock Partners, Gaorong Capital",8.6,"SoftBank Group, Greylock Partners, Gaorong Capital",3,8.6
Snyk,2020-01-21,Cybersecurity,United States,Boston,North America,2015,$1B,1.0,9,"BOLDstart Ventures, Google Ventures, Accel",8.6,"BOLDstart Ventures, Google Ventures, Accel",5,8.6
Kavak,2020-10-01,E-commerce And Direct-to-consumer,Mexico,Lerma de Villada,North America,2016,$2B,2.0,9,"DST Global, SoftBank Group, Mountain Nazca",8.7,"DST Global, SoftBank Group, Mountain Nazca",4,8.7
N26,2019-01-10,Fintech,Germany,Berlin,Europe,2013,$2B,2.0,9,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",9.23,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",6,9.23
Klaviyo,2020-11-17,Internet Software And Services,United States,Boston,North America,2012,$679M,0.679,9,"Summit Partners, Accel, Astral Capital",9.2,"Summit Partners, Accel, Astral Capital",8,9.2
Niantic,2017-11-24,Mobile And Telecommunications,United States,San Francisco,North America,2015,$770M,0.77,9,"Nintendo, Google, Pokemon Company International, Spark Capital",9.0,"Nintendo, Google, Pokemon Company International, Spark Capital",2,9.0
Tanium,2015-03-31,Cybersecurity,United States,Kirkland,North America,2007,$775M,0.775,9,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",9.0,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",8,9.0
Dream11,2019-04-09,Internet Software And Services,India,Mumbai,Asia,2007,$2B,2.0,8,"Kaalari Capital, Tencent Holdings, Steadview Capital",8.0,"Kaalari Capital, Tencent Holdings, Steadview Capital",12,8.0
DJI Innovations,2015-01-23,Hardware,China,Shenzhen,Asia,2006,$105M,0.105,8,"Accel Partners, Sequoia Capital",15.0,"Accel Partners, Sequoia Capital",9,15.0
Netskope,2018-11-13,Cybersecurity,United States,Santa Clara,North America,2012,$1B,1.0,8,"Lightspeed Venture Partners, Social Capital, Accel",7.5,"Lightspeed Venture Partners, Social Capital, Accel",6,7.5
Razorpay,2020-10-11,Fintech,India,Bengaluru,Asia,2013,$742M,0.742,8,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",7.5,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",7,7.5
Dapper Labs,2021-03-30,Fintech,Canada,Vancouver,North America,2018,$607M,0.607,8,"Union Square Ventures, Venrock, Andreessen Horowitz",7.6,"Union Square Ventures, Venrock, Andreessen Horowitz",3,7.6
Lacework,2021-01-07,Cybersecurity,United States,San Jose,North America,2015,$2B,2.0,8,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",8.3,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",6,8.3
Tipalti,2020-10-06,Fintech,United States,San Mateo,North America,2010,$549M,0.549,8,"01 Advisors, Zeev Ventures, Group 11",8.3,"01 Advisors, Zeev Ventures, Group 11",10,8.3
Hopin,2020-11-10,Internet Software And Services,United Kingdom,London,Europe,2019,$1B,1.0,8,"Accel, Northzone Ventures, Institutional Venture Partners",7.75,"Accel, Northzone Ventures, Institutional Venture Partners",1,7.75
Caris Life Sciences,2021-05-12,Health,United States,Irving,North America,1996,$1B,1.0,8,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",7.83,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",25,7.83
Ramp,2021-03-29,Fintech,United States,New York,North America,2019,$660M,0.66,8,"D1 Capital Partners, Stripe, Coatue Management",8.1,"D1 Capital Partners, Stripe, Coatue Management",2,8.1
Tempus,2018-03-21,Health,United States,Chicago,North America,2015,$820M,0.8200000000000001,8,"New Enterprise Associates, T. Rowe Associates, Lightbank",8.1,"New Enterprise Associates, T. Rowe Associates, Lightbank",3,8.1
Fireblocks,2021-07-27,Fintech,United States,New York,North America,2018,$1B,1.0,8,"Tenaya Capital, Coatue Management, Stripes Group",8.0,"Tenaya Capital, Coatue Management, Stripes Group",3,8.0
Flexport,2018-04-30,"Supply Chain, Logistics, And Delivery",United States,San Francisco,North America,2013,$2B,2.0,8,"Bloomberg Beta, Founders Fund, First Round Capital",8.0,"Bloomberg Beta, Founders Fund, First Round Capital",5,8.0
National Stock Exchange of India,2020-07-01,Fintech,India,Mumbai,Asia,1998,$297M,0.297,7,"TA Associates, SoftBank Group, GS Growth",6.5,"TA Associates, SoftBank Group, GS Growth",22,6.5
Meicai,2016-06-22,Mobile And Telecommunications,China,Beijing,Asia,2014,$1B,1.0,7,"Tiger Global Management, Blue Lake Capital, ZhenFund",2.8,"Tiger Global Management, Blue Lake Capital, ZhenFund",2,2.8
Impossible Foods,2019-05-13,Consumer And Retail,United States,Redwood City,North America,2011,$2B,2.0,7,"Khosla Ventures, Horizons Ventures, Temasek Holdings",4.0,"Khosla Ventures, Horizons Ventures, Temasek Holdings",8,4.0
CRED,2021-04-06,Fintech,India,Bengaluru,Asia,2018,$922M,0.922,7,"Tiger Global Management, DST Global, Sequoia Capital India",4.01,"Tiger Global Management, DST Global, Sequoia Capital India",3,4.01
Attentive,2020-09-23,Mobile And Telecommunications,United States,Hoboken,North America,2016,$863M,0.863,7,"NextView Ventures, Eniac Ventures, Sequoia Capital",5.99,"NextView Ventures, Eniac Ventures, Sequoia Capital",4,5.99
Ola Cabs,2014-10-27,Auto And Transportation,India,Bengaluru,Asia,2010,$4B,4.0,7,"Accel Partners, SoftBank Group, Sequoia Capital",7.5,"Accel Partners, SoftBank Group, Sequoia Capital",4,7.5
Rippling,2020-08-04,Internet Software And Services,United States,San Francisco,North America,2017,$447M,0.447,7,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",11.25,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",3,11.25
Carta,2019-05-06,Fintech,United States,San Francisco,North America,2012,$1B,1.0,7,"Menlo Ventures, Spark Capital, Union Square Ventures",7.4,"Menlo Ventures, Spark Capital, Union Square Ventures",7,7.4
Toss,2018-12-09,Fintech,South Korea,Seoul,Asia,2013,$844M,0.844,7,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",6.38,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",5,6.38
Ziroom,2018-01-17,E-commerce And Direct-to-consumer,China,Beijing,Asia,2011,$2B,2.0,7,"Sequoia Capital China, Warburg Pincus, General Catalyst",6.6,"Sequoia Capital China, Warburg Pincus, General Catalyst",7,6.6
Scale AI,2019-08-05,Artificial Intelligence,United States,San Francisco,North America,2018,$603M,0.603,7,"Accel, Y Combinator, Index Ventures",7.3,"Accel, Y Combinator, Index Ventures",1,7.3
Gong,2020-08-12,Artificial Intelligence,United States,Palo Alto,North America,2015,$583M,0.583,7,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",7.25,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",5,7.25
TripActions,2018-11-08,Travel,United States,Palo Alto,North America,2015,$912M,0.912,7,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",9.2,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",3,9.2
1Password,2021-07-08,Cybersecurity,Canada,Toronto,North America,2005,$920M,0.92,7,"Slack Fund, Accel, Skip Capital",6.8,"Slack Fund, Accel, Skip Capital",16,6.8
Automation Anywhere,2018-07-02,Artificial Intelligence,United States,San Jose,North America,2003,$849M,0.849,7,"General Atlantic, Goldman Sachs, New Enterprise Associates",6.8,"General Atlantic, Goldman Sachs, New Enterprise Associates",15,6.8
Gemini,2021-11-19,Fintech,United States,New York,North America,2015,$424M,0.424,7,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",7.1,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",6,7.1
ConsenSys,2021-11-17,Fintech,United States,New York,North America,2014,$660M,0.66,7,"Third Point, Electric Capital, Coinbase Ventures",7.0,"Third Point, Electric Capital, Coinbase Ventures",7,7.0
Ro,2020-07-27,Health,United States,New York,North America,2017,$1B,1.0,7,"Initialized Capital, General Catalyst, SignalFire",7.0,"Initialized Capital, General Catalyst, SignalFire",3,7.0
Black Unicorn Factory,2021-05-20,Other,United States,Los Angeles,North America,2020,$645M,0.645,6,Barter Ventures,6.1,Barter Ventures,1,6.1
Easyhome,2018-02-12,Consumer And Retail,China,Beijing,Asia,1999,$2B,2.0,6,"Alibaba Group, Boyu Capital, Borui Capital",5.78,"Alibaba Group, Boyu Capital, Borui Capital",19,5.78
SVOLT,2020-06-08,Auto And Transportation,China,Changzhou,Asia,2018,$3B,3.0,6,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",6.51,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",2,6.51
Airwallex,2019-03-25,Fintech,Australia,Melbourne,Oceania,2015,$802M,0.802,6,"DST Global, Sequoia Capital China, Tencent Holdings",5.5,"DST Global, Sequoia Capital China, Tencent Holdings",4,5.5
Deel,2021-04-21,Fintech,United States,San Francisco,North America,2018,$629M,0.629,6,"Andreessen Horowitz, Spark Capital, Y Combinator",12.0,"Andreessen Horowitz, Spark Capital, Y Combinator",3,12.0
Mambu,2021-01-06,Fintech,Netherlands,Amsterdam,Europe,2011,$448M,0.448,6,"Runa Capital, Acton Capital Partners, Point Nine Capital",5.5,"Runa Capital, Acton Capital Partners, Point Nine Capital",10,5.5
Mollie,2020-09-08,Fintech,Netherlands,Amsterdam,Europe,2004,$928M,0.928,6,Technology Crossover Ventures,6.5,Technology Crossover Ventures,16,6.5
Doctolib,2019-03-19,Health,France,Paris,Europe,2013,$815M,0.8150000000000001,6,"BPI France, Kerala Ventures, Accel",6.4,"BPI France, Kerala Ventures, Accel",6,6.4
FiveTran,2020-06-30,Data Management And Analytics,United States,Oakland,North America,2012,$728M,0.728,6,"Matrix Partners, Andreessen Horowitz, General Catalyst",5.6,"Matrix Partners, Andreessen Horowitz, General Catalyst",8,5.6
Postman,2020-06-11,Internet Software And Services,United States,San Francisco,North America,2014,$433M,0.433,6,"Nexus Venture Partners, CRV, Insight Partners",5.6,"Nexus Venture Partners, CRV, Insight Partners",6,5.6
Back Market,2021-05-18,E-commerce And Direct-to-consumer,France,Paris,Europe,2014,$1B,1.0,6,"Aglae Ventures, Eurazeo, Daphni",5.7,"Aglae Ventures, Eurazeo, Daphni",7,5.7
Cityblock Health,2020-12-10,Health,United States,Brooklyn,North America,2017,$891M,0.891,6,"Thrive Capital, Maverick Ventures, Redpoint Ventures",5.7,"Thrive Capital, Maverick Ventures, Redpoint Ventures",3,5.7
DataRobot,2019-07-29,Artificial Intelligence,United States,Boston,North America,2012,$1B,1.0,6,"New Enterprise Associates, Accomplice, IA Ventures",6.3,"New Enterprise Associates, Accomplice, IA Ventures",7,6.3
Personio,2021-01-19,Internet Software And Services,Germany,Munich,Europe,2015,$524M,0.524,6,"Global Founders Capital, Nortzone Ventures, Picus Capital",8.5,"Global Founders Capital, Nortzone Ventures, Picus Capital",6,8.5
Vice Media,2011-04-02,Internet Software And Services,United States,Brooklyn,North America,1994,$1B,1.0,6,"Technology Crossover Ventures, A&E Television Networks",5.7,"Technology Crossover Ventures, A&E Television Networks",17,5.7
Workato,2021-01-12,Internet Software And Services,United States,Mountain View,North America,2013,$415M,0.41500000000000004,6,"Battery Ventures, Storm Ventures, Redpoint Ventures",5.7,"Battery Ventures, Storm Ventures, Redpoint Ventures",8,5.7
Upgrade,2018-02-12,Fintech,United States,San Francisco,North America,2016,$587M,0.587,6,"Union Square Ventures, Ribbit Capital, VY Capital",6.28,"Union Square Ventures, Ribbit Capital, VY Capital",2,6.28
Lianjia,2016-04-07,E-commerce And Direct-to-consumer,China,Beijing,Asia,2001,$1B,1.0,6,"Tencent, Baidu, Huasheng Capital",5.77,"Tencent, Baidu, Huasheng Capital",15,5.77
Hinge Health,2021-01-06,Health,United States,San Francisco,North America,2015,$826M,0.8260000000000001,6,"Atomico, Insight Partners, Coatue Management",6.2,"Atomico, Insight Partners, Coatue Management",6,6.2
Lyra Health,2020-08-25,Health,United States,Burlingame,North America,2015,$910M,0.91,6,"Greylock Partners, Venrock, Providence Ventures",5.85,"Greylock Partners, Venrock, Providence Ventures",5,5.85
Benchling,2021-04-14,Internet Software And Services,United States,San Francisco,North America,2012,$412M,0.41200000000000003,6,"Thrive Capital, Benchmark, MenloVentures",6.1,"Thrive Capital, Benchmark, MenloVentures",9,6.1
Better.com,2020-11-10,Fintech,United States,New York,North America,2018,$405M,0.405,6,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",6.0,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",2,6.0
iCapital Network,2021-07-27,Fintech,United States,New York,North America,2013,$729M,0.729,6,"BlackRock, Blackstone, UBS",6.0,"BlackRock, Blackstone, UBS",8,6.0
Wiz,2021-03-17,Cybersecurity,Israel,Tel Aviv,Asia,2020,$600M,0.6,6,"Insight Partners, Sequoia Capital, Index Ventures",6.0,"Insight Partners, Sequoia Capital, Index Ventures",1,6.0
Howden Group Holdings,2020-09-29,Other,United Kingdom,London,Europe,1994,$187M,0.187,5,"General Atlantic, 3i Group, Huagai Capital",5.0,"General Atlantic, 3i Group, Huagai Capital",26,5.0
Meesho,2021-04-05,Internet Software And Services,India,Bengaluru,Asia,2015,$1B,1.0,5,"Venture Highway, Sequoia Capital India, Prosus Ventures",4.9,"Venture Highway, Sequoia Capital India, Prosus Ventures",6,4.9
Royole Corporation,2015-08-18,Hardware,China,Shenzhen,Asia,2012,$492M,0.492,5,"Warmsun Holding, IDG Capital Partners",6.0,"Warmsun Holding, IDG Capital Partners",3,6.0
Monzo,2018-10-31,Fintech,United Kingdom,London,Europe,2015,$1B,1.0,5,"Passion Capital, Thrive Capital, Orange Digital Ventures",4.5,"Passion Capital, Thrive Capital, Orange Digital Ventures",3,4.5
Socure,2021-03-16,Cybersecurity,United States,New York,North America,2012,$644M,0.644,5,"Two Sigma Ventures, Flint Capital, Commerce Ventures",4.5,"Two Sigma Ventures, Flint Capital, Commerce Ventures",9,4.5
VIPKid,2016-08-04,Edtech,China,Beijing,Asia,2013,$1B,1.0,5,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",4.5,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",3,4.5
Vinted,2019-11-27,E-commerce And Direct-to-consumer,Lithuania,Vilnius,Europe,2008,$562M,0.562,5,"Accel, Insight Partners, Burda Principal Investments",4.53,"Accel, Insight Partners, Burda Principal Investments",11,4.53
